[Header]	
System	NPOC-TN	
S/W Version	1.00	
User	Grossman	
Date/Time	5/2/2021 11:43:54 AM	

[System]	
Instrument Options	TOC/ASI/TN/	

[Data]	
Type	Sample Name	Sample ID	Cal. Curve	Date / Time	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Vial	Excluded	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:04:06 PM	1	NPOC	0.1334	0.1044	0.05951	0.04655	NPOC:0.04655mg/L TN:0.000mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:06:17 PM	2	NPOC	0.2763	0.1044	0.1233	0.04655	NPOC:0.04655mg/L TN:0.000mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:08:22 PM	3	NPOC	0.07530	0.1044	0.03359	0.04655	NPOC:0.04655mg/L TN:0.000mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:04:06 PM	1	TN	0.4937	0.000	0.05383	0.000	NPOC:0.04655mg/L TN:0.000mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:06:17 PM	2	TN	0.000	0.000	0.000	0.000	NPOC:0.04655mg/L TN:0.000mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:08:22 PM	3	TN	0.000	0.000	0.000	0.000	NPOC:0.04655mg/L TN:0.000mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:15:05 PM	1	NPOC	0.1505	0.2102	0.06714	0.09375	NPOC:0.09375mg/L TN:0.00978mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:17:17 PM	2	NPOC	0.000	0.2102	0.000	0.09375	NPOC:0.09375mg/L TN:0.00978mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:19:22 PM	3	NPOC	0.2698	0.2102	0.1204	0.09375	NPOC:0.09375mg/L TN:0.00978mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:15:05 PM	1	TN	0.1092	0.08970	0.01191	0.00978	NPOC:0.09375mg/L TN:0.00978mg/L	0	0	
